query,context,relevance
Find a Fantasy writing prompt,"<Fantasy> </Fantasy> <Magic> </Magic> <The Accidental Alchemist> </The Accidental Alchemist> prompt A clumsy apprentice baker accidentally creates a potion that grants temporary, unpredictable magical abilities instead of a perfect sourdough starter.",1.0
Find a Fantasy prompt about magic,"<Fantasy> </Fantasy> <Magic> </Magic> <The Accidental Alchemist> </The Accidental Alchemist> prompt A clumsy apprentice baker accidentally creates a potion that grants temporary, unpredictable magical abilities instead of a perfect sourdough starter.",1.0
Find a writing prompt about magical,"<Fantasy> </Fantasy> <Magic> </Magic> <The Accidental Alchemist> </The Accidental Alchemist> prompt A clumsy apprentice baker accidentally creates a potion that grants temporary, unpredictable magical abilities instead of a perfect sourdough starter.",1.0
Find a Science Fiction writing prompt,"<Fantasy> </Fantasy> <Magic> </Magic> <The Accidental Alchemist> </The Accidental Alchemist> prompt A clumsy apprentice baker accidentally creates a potion that grants temporary, unpredictable magical abilities instead of a perfect sourdough starter.",0.0
Find a Science Fiction writing prompt,"<Science Fiction> </Science Fiction> <Alien Encounter> </Alien Encounter> <Lost Translator> </Lost Translator> prompt An alien lands on Earth, but their universal translator is broken. They must communicate their urgent message using only gestures and drawings to a skeptical bystander.",1.0
Find a Science Fiction prompt about alien encounter,"<Science Fiction> </Science Fiction> <Alien Encounter> </Alien Encounter> <Lost Translator> </Lost Translator> prompt An alien lands on Earth, but their universal translator is broken. They must communicate their urgent message using only gestures and drawings to a skeptical bystander.",1.0
Find a writing prompt about message,"<Science Fiction> </Science Fiction> <Alien Encounter> </Alien Encounter> <Lost Translator> </Lost Translator> prompt An alien lands on Earth, but their universal translator is broken. They must communicate their urgent message using only gestures and drawings to a skeptical bystander.",1.0
Find a Fantasy writing prompt,"<Science Fiction> </Science Fiction> <Alien Encounter> </Alien Encounter> <Lost Translator> </Lost Translator> prompt An alien lands on Earth, but their universal translator is broken. They must communicate their urgent message using only gestures and drawings to a skeptical bystander.",0.0
Find a Mystery writing prompt,"<Mystery> </Mystery> <Secrets> </Secrets> <The Purloined Parrot> </The Purloined Parrot> prompt A prize-winning parrot, known for mimicking sensitive conversations, is stolen from a wealthy recluse. The only clue is a single, exotic feather.",1.0
Find a Mystery prompt about secrets,"<Mystery> </Mystery> <Secrets> </Secrets> <The Purloined Parrot> </The Purloined Parrot> prompt A prize-winning parrot, known for mimicking sensitive conversations, is stolen from a wealthy recluse. The only clue is a single, exotic feather.",1.0
Find a writing prompt about sensitive and mimicking,"<Mystery> </Mystery> <Secrets> </Secrets> <The Purloined Parrot> </The Purloined Parrot> prompt A prize-winning parrot, known for mimicking sensitive conversations, is stolen from a wealthy recluse. The only clue is a single, exotic feather.",1.0
Find a Fantasy writing prompt,"<Mystery> </Mystery> <Secrets> </Secrets> <The Purloined Parrot> </The Purloined Parrot> prompt A prize-winning parrot, known for mimicking sensitive conversations, is stolen from a wealthy recluse. The only clue is a single, exotic feather.",0.0
Find a Horror writing prompt,"<Horror> </Horror> <Supernatural> </Supernatural> <The Whispering Walls> </The Whispering Walls> prompt A family moves into an old house where the walls whisper secrets, but only the youngest child can understand them.",1.0
Find a Horror prompt about supernatural,"<Horror> </Horror> <Supernatural> </Supernatural> <The Whispering Walls> </The Whispering Walls> prompt A family moves into an old house where the walls whisper secrets, but only the youngest child can understand them.",1.0
Find a writing prompt about child and moves,"<Horror> </Horror> <Supernatural> </Supernatural> <The Whispering Walls> </The Whispering Walls> prompt A family moves into an old house where the walls whisper secrets, but only the youngest child can understand them.",1.0
Find a Fantasy writing prompt,"<Horror> </Horror> <Supernatural> </Supernatural> <The Whispering Walls> </The Whispering Walls> prompt A family moves into an old house where the walls whisper secrets, but only the youngest child can understand them.",0.0
Find a Romance writing prompt,"<Romance> </Romance> <Love> </Love> <The Bookstore Meet-Cute> </The Bookstore Meet-Cute> prompt Two people keep reaching for the same obscure book in a dusty, independent bookstore.",1.0
